호칭치수(mm),H*B(mm),t1,t2,r,단면적(cm^2),단위무게(kg/m)
100×50,100×50,5,7,8,11.85,9.3
100×100,100×100,6,8,10,21.9,17.2
125×60,125×60,6,8,9,16.84,13.2
125×125,125×125,6.5,9,10,30.31,23.8
150×75,150×75,5,7,8,17.85,14
150×100,150×100,6,9,11,26.84,21.1
150×150,150×150,7,10,11,40.14,31.5
175×90,175×90,5,8,9,23.04,18.1
175×175,175×175,7.5,11,12,51.21,40.2
200×100,198×99,4.5,7,11,23.18,18.2
200×100,200×100,5.5,8,11,27.16,21.3
200×150,194×150,6,9,13,39.01,30.6
200×200,200×200,8,12,13,63.53,49.9
200×200,200×204,12,12,13,71.53,56.2
200×200,208×202,10,16,13,83.69,65.7
250×125,248×124,5,8,12,32.68,25.7
250×125,250×125,6,9,12,37.66,29.6
250×175,244×175,7,11,16,56.24,44.1
250×250,244×252,11,11,16,82.06,64.4
250×250,248×249,8,13,16,84.7,66.5
250×250,250×250,9,14,16,92.18,72.4
250×250,250×255,14,14,16,104.7,82.2
300×150,298×149,5.5,8,13,40.8,32
300×150,300×150,6.5,9,13,46.78,36.7
300×200,294×200,8,12,18,72.38,56.8
300×200,298×201,9,14,18,83.36,65.4
300×300,294×302,12,12,18,107.7,84.5
300×300,298×299,9,14,18,110.8,87
300×300,300×300,10,15,18,119.8,94
300×300,300×305,15,15,18,134.8,106
300×300,304×301,11,17,18,134.8,106
300×300,310×305,15,20,18,165.3,130
300×300,310×310,20,20,18,180.8,142
350×175,346×174,6,9,14,52.68,41.4
350×175,350×175,7,11,14,63.14,49.6
350×175,354×176,8,13,14,73.68,57.8
350×250,336×249,8,12,20,88.15,69.2
350×250,340×250,9,14,20,101.5,79.7
350×350,338×351,13,13,20,135.3,106
350×350,344×348,10,16,20,146,115
350×350,344×354,16,16,20,166.6,131
350×350,350×350,12,19,20,173.9,137
350×350,350×357,19,19,20,198.4,156
400×200,396×199,7,11,16,72.16,56.6
400×200,400×200,8,13,16,84.12,66
400×300,390×300,10,16,22,136,107
400×400,388×402,15,15,22,178.5,140
400×400,394×398,11,18,22,186.8,147
400×400,394×405,18,18,22,214.4,168
400×400,400×400,13,21,22,218.7,172
400×400,400×408,21,21,22,250.7,197
400×400,406×403,16,24,22,254.9,200
400×400,414×405,18,28,22,295.4,232
400×400,428×407,20,35,22,360.7,283
400×400,458×417,30,50,22,528.6,415
400×400,498×432,45,70,22,770.1,605
450×200,446×199,8,12,18,84.3,66.2
450×200,450×200,9,14,18,96.76,76
450×300,434×299,10,15,24,135,106
450×300,440×300,11,18,24,157.4,124
500×200,496×199,9,14,20,101.3,79.5
500×200,500×200,10,16,20,114.2,89.6
500×200,506×201,11,19,20,131.3,103
500×300,482×300,11,15,26,145.5,114
500×300,488×300,11,18,26,163.5,128
600×200,596×199,10,15,22,120.5,94.6
600×200,600×200,11,17,22,134.4,106
600×200,606×201,12,20,22,152.5,120
600×200,612×202,13,23,22,170.7,134
600×300,582×300,12,17,28,174.5,137
600×300,588×300,12,20,28,192.5,151
600×300,594×302,14,23,28,222.4,175
700×300,692×300,13,20,28,211.5,166
700×300,700×300,13,24,28,235.5,185
700×300,708×302,15,28,28,273.6,215
800×300,792×300,14,22,28,243.4,191
800×300,800×300,14,26,28,267.4,210
800×300,808×302,16,30,28,307.6,241
900×300,890×299,15,23,28,270.9,213
900×300,900×300,16,28,28,309.8,243
900×300,912×302,18,34,28,364,286
900×300,918×303,19,37,28,391.3,307
