호칭치수(mm),H*B(mm),t1,t2,r,단면적(cm^2),단위중량(kg/m)
100×75,100×75,5,8,7,16.43,12.9
125×75,125×75,5.5,9.5,9,20.45,16.1
150×75,150×75,5.5,9.5,9,21.83,17.1
150×125,150×125,8.5,14,13,46.15,36.2
180×100,180×100,6,10,10,30.06,23.6
200×100,200×100,7,10,10,33.06,26
200×150,200×150,9,16,15,64.16,50.4
250×125,250×125,7.5,12.5,12,48.79,38.3
250×175,250×175,10,19,21,70.73,55.5
300×150,300×150,8,13,12,61.5,48.3
300×150,300×150(2),10,18.5,19,83.47,65.5
300×150,300×150(3),11.5,22,23,97.88,76.8
350×150,350×150,9,15,13,74.58,58.5
350×150,350×150(2),12,24,25,111.1,87.2
400×150,400×150,10,18,17,91.73,72
400×150,400×150(2),12.5,25,27,122.1,95.8
450×175,450×175,11,20,19,116.8,91.7
450×175,450×175(2),13,26,27,146.1,115
600×190,600×190,13,25,25,169.4,133
600×190,600×190(2),16,35,38,224.5,176
