호칭치수,H×B,1,1,,1,1
100×50,100×50,5,7,8,11.85,9.3
100×100,100×100,6,8,10,21.9,17.2
125×60,125×60,6,8,9,16.84,13.2
125×125,125×125,6.5,9,10,30.31,23.8
150×75,150×75,5,7,8,17.85,14
150×100,150×100,6,9,11,26.84,21.1
150×150,150×150,7,10,11,40.14,31.5
175×90,175×90,5,8,9,23.04,18.1
175×175,175×175,7.5,11,12,51.21,40.2
200×100,198×99,4.5,7,11,23.18,18.2
200×100,200×100,5.5,8,11,27.16,21.3
200×150,194×150,6,9,13,39.01,30.6
200×200,200×200,8,12,13,63.53,49.9
200×200,200×204,12,12,13,71.53,56.2
200×200,208×202,10,16,13,83.69,65.7
250×125,248×124,5,8,12,32.68,25.7
250×125,250×125,6,9,12,37.66,29.6
250×175,244×175,7,11,16,56.24,44.1
250×250,244×252,11,11,16,82.06,64.4
250×250,248×249,8,13,16,84.7,66.5
250×250,250×250,9,14,16,92.18,72.4
250×250,250×255,14,14,16,104.7,82.2
300×150,298×149,5.5,8,13,40.8,32
300×150,300×150,6.5,9,13,46.78,36.7
300×200,294×200,8,12,18,72.38,56.8
300×200,298×201,9,14,18,83.36,65.4
300×300,294×302,,,,,
300×300,298×299,,,,,
300×300,300×300,,,,,
300×300,300×305,,,,,
300×300,304×301,,,,,
300×300,310×305,,,,,
300×300,310×310,,,,,
350×175,346×174,,,,,
350×175,350×175,,,,,
350×175,354×176,,,,,
350×250,336×249,,,,,
350×250,340×250,,,,,
350×350,338×351,,,,,
350×350,344×348,,,,,
350×350,344×354,,,,,
350×350,350×350,,,,,
350×350,350×357,,,,,
400×200,396×199,,,,,
400×200,400×200,,,,,
400×300,390×300,,,,,
400×400,388×402,,,,,
400×400,394×398,,,,,
400×400,394×405,,,,,
400×400,400×400,,,,,
400×400,400×408,,,,,
400×400,406×403,,,,,
400×400,414×405,,,,,
400×400,428×407,,,,,
400×400,458×417,,,,,
400×400,498×432,,,,,
450×200,446×199,,,,,
450×200,450×200,,,,,
450×300,434×299,,,,,
450×300,440×300,,,,,
500×200,496×199,,,,,
500×200,500×200,,,,,
500×200,506×201,,,,,
500×300,482×300,,,,,
500×300,488×300,,,,,
600×200,596×199,,,,,
600×200,600×200,,,,,
600×200,606×201,,,,,
600×200,612×202,,,,,
600×300,582×300,,,,,
600×300,588×300,,,,,
600×300,594×302,,,,,
700×300,692×300,,,,,
700×300,700×300,,,,,
700×300,708×302,,,,,
800×300,792×300,,,,,
800×300,800×300,,,,,
800×300,808×302,,,,,
900×300,890×299,,,,,
900×300,900×300,,,,,
900×300,912×302,,,,,
900×300,918×303,,,,,
